movie_id,title,description
1193,One Flew Over the Cuckoo's Nest (1975),No description available
661,James and the Giant Peach (1996),"Maria marries a young soldier in the last days of World War II, only for him to go missing in the war. She must rely on her beauty and ambition to navigate the difficult post-war years alone."
914,My Fair Lady (1964),Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
3408,Erin Brockovich (2000),Experimental short dealing with the subject of F to M Transexuals.
2355,"Bug's Life, A (1998)",A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.
1197,"Princess Bride, The (1987)",No description available
1287,Ben-Hur (1959),No description available
2804,"Christmas Story, A (1983)",
594,Snow White and the Seven Dwarfs (1937),"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant."
919,"Wizard of Oz, The (1939)","In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon."
595,Beauty and the Beast (1991),"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping."
938,Gigi (1958),"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang."
2398,Miracle on 34th Street (1947),"At fifty, René Maugras has lost everything. This wealthy press boss fell into a coma and was rushed to hospital. He has since emerged from his worrying state of health but remains unable to move and communicate. He must also begin rehabilitation, which turns out to be particularly humiliating. Fortunately for him there is Blanche, his nurse, who surrounds him with affection. Blanche takes her case to heart."
2918,Ferris Bueller's Day Off (1986),No description available
1035,"Sound of Music, The (1965)",No description available
2791,Airplane! (1980),"After their narrow escape at the end of ""Pitch Black,""  Riddick, Jack and the Imam find themselves at the mercy of a madwoman who intends to entomb Riddick forever as part of a twisted art exhibit.  With little but a shiv and Riddick's innate viciousness to aid them, Riddick and his allies must find a way to escape from their captor and her band of mercenaries."
2687,Tarzan (1999),"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life."
2018,Bambi (1942),"San Francisco's premiere wedding planner, Mary Fiore is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancé of her latest client. As Mary continues making their wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction."
3105,Awakenings (1990),"Victor Frankenstein witnesses his creation turn uncontrollable after he's duped by his associate, Dr. Polidori."
2797,Big (1988),
2321,Pleasantville (1998),"Angela de Marco is fed up with her gangster husband's line of work and wants no part of the crime world. When her husband is killed for having an affair with the mistress of mob boss Tony ""The Tiger"" Russo, Angela and her son depart for New York City to make a fresh start. Unfortunately, Tony has set his sights upon Angela -- and so has an undercover FBI agent looking to use her to bust Tony."
720,Wallace & Gromit: The Best of Aardman Animation (1996),No description available
1270,Back to the Future (1985),No description available
527,Schindler's List (1993),"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband."
2340,Meet Joe Black (1998),No description available
48,Pocahontas (1995),No description available
1097,E.T. the Extra-Terrestrial (1982),No description available
1721,Titanic (1997),"The ""Trinity"" crew makes another modern era film. Plata and Salud are pilots ditching aircraft for insurance money. They wind up crashing for real in the jungles of South America. The plot involves ""Mr. Big"", who is buying the diamonds from the miners for much too little, and has thugs who keep the price down. Of course, Plata and Salud side with the miners"
1545,Ponette (1996),No description available
745,"Close Shave, A (1995)","Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret."
2294,Antz (1998),"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production."
3186,"Girl, Interrupted (1999)",No description available
1566,Hercules (1997),"A group of German boys are ordered to protect a small bridge in their home village during the waning months of the second world war. Truckloads of defeated, cynical Wehrmacht soldiers flee the approaching American troops, but the boys, full of enthusiasm for the ""blood and honor"" Nazi ideology, stay to defend the useless bridge. The film is based on a West German anti-war novel of the same name, written by Gregor Dorfmeister."
